Name,Survived,Gender,Age,Traveling_Alone,Ticket_Fare(lbs)
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",No,Female,29,Not_Alone,26
"Christy, Miss. Julie Rachel",Yes,Female,25,Not_Alone,30
"Christy, Mrs. (Alice Frances)",Yes,Female,45,Not_Alone,30
"Clarke, Mr. Charles Valentine",No,Male,29,Not_Alone,26
"Clarke, Mrs. Charles V (Ada Maria Winfield)",Yes,Female,28,Not_Alone,26
"Coleridge, Mr. Reginald Charles",No,Male,29,Alone,10.5
"Collander, Mr. Erik Gustaf",No,Male,28,Alone,13
"Collett, Mr. Sidney C Stuart",Yes,Male,24,Alone,10.5
"Collyer, Miss. Marjorie ""Lottie""",Yes,Female,8,Not_Alone,26.25
"Collyer, Mr. Harvey",No,Male,31,Not_Alone,26.25
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",Yes,Female,31,Not_Alone,26.25
"Cook, Mrs. (Selena Rogers)",Yes,Female,22,Alone,10.5
"Corbett, Mrs. Walter H (Irene Colvin)",No,Female,30,Alone,13
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",No,Female,,Alone,21
"Cotterill, Mr. Henry ""Harry""",No,Male,21,Alone,11.5
"Cunningham, Mr. Alfred Fleming",No,Male,,Alone,0
"Davies, Master. John Morgan Jr",Yes,Male,8,Not_Alone,36.75
"Davies, Mr. Charles Henry",No,Male,18,Alone,73.5
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)",Yes,Female,48,Not_Alone,36.75
"Davis, Miss. Mary",Yes,Female,28,Alone,13
"de Brito, Mr. Jose Joaquim",No,Male,32,Alone,13
"Deacon, Mr. Percy William",No,Male,17,Alone,73.5
"del Carlo, Mr. Sebastiano",No,Male,29,Not_Alone,27.7208
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",Yes,Female,24,Not_Alone,27.7208
"Denbury, Mr. Herbert",No,Male,25,Alone,31.5
"Dibden, Mr. William",No,Male,18,Alone,73.5
"Doling, Miss. Elsie",Yes,Female,18,Not_Alone,23
"Doling, Mrs. John T (Ada Julia Bone)",Yes,Female,34,Not_Alone,23
"Downton, Mr. William James",No,Male,54,Alone,26
"Drew, Master. Marshall Brines",Yes,Male,8,Not_Alone,32.5
"Drew, Mr. James Vivian",No,Male,42,Not_Alone,32.5
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",Yes,Female,34,Not_Alone,32.5
"Duran y More, Miss. Asuncion",Yes,Female,27,Not_Alone,13.8583
"Duran y More, Miss. Florentina",Yes,Female,30,Not_Alone,13.8583
"Eitemiller, Mr. George Floyd",No,Male,23,Alone,13
"Enander, Mr. Ingvar",No,Male,21,Alone,13
"Fahlstrom, Mr. Arne Jonas",No,Male,18,Alone,13
"Faunthorpe, Mr. Harry",No,Male,40,Not_Alone,26
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Yes,Female,29,Not_Alone,26
"Fillbrook, Mr. Joseph Charles",No,Male,18,Alone,10.5
"Fox, Mr. Stanley Hubert",No,Male,36,Alone,13
"Frost, Mr. Anthony Wood ""Archie""",No,Male,,Alone,0
"Funk, Miss. Annie Clemmer",No,Female,38,Alone,13
"Fynney, Mr. Joseph J",No,Male,35,Alone,26
"Gale, Mr. Harry",No,Male,38,Not_Alone,21
"Gale, Mr. Shadrach",No,Male,34,Not_Alone,21
"Garside, Miss. Ethel",Yes,Female,34,Alone,13
"Gaskell, Mr. Alfred",No,Male,16,Alone,26
"Gavey, Mr. Lawrence",No,Male,26,Alone,10.5
"Gilbert, Mr. William",No,Male,47,Alone,10.5
"Giles, Mr. Edgar",No,Male,21,Not_Alone,11.5
"Giles, Mr. Frederick Edward",No,Male,21,Not_Alone,11.5
"Giles, Mr. Ralph",No,Male,24,Alone,13.5
"Gill, Mr. John William",No,Male,24,Alone,13
"Gillespie, Mr. William Henry",No,Male,34,Alone,13
"Givard, Mr. Hans Kristensen",No,Male,30,Alone,13
"Greenberg, Mr. Samuel",No,Male,52,Alone,13
"Hale, Mr. Reginald",No,Male,30,Alone,13
"Hamalainen, Master. Viljo",Yes,Male,0,Not_Alone,14.5
"Hamalainen, Mrs. William (Anna)",Yes,Female,24,Not_Alone,14.5
"Harbeck, Mr. William H",No,Male,44,Alone,13
"Harper, Miss. Annie Jessie ""Nina""",Yes,Female,6,Not_Alone,33
"Harper, Rev. John",No,Male,28,Not_Alone,33
"Harris, Mr. George",Yes,Male,62,Alone,10.5
"Harris, Mr. Walter",No,Male,30,Alone,10.5
"Hart, Miss. Eva Miriam",Yes,Female,7,Not_Alone,26.25
"Hart, Mr. Benjamin",No,Male,43,Not_Alone,26.25
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",Yes,Female,45,Not_Alone,26.25
"Herman, Miss. Alice",Yes,Female,24,Not_Alone,65
"Herman, Miss. Kate",Yes,Female,24,Not_Alone,65
"Herman, Mr. Samuel",No,Male,49,Not_Alone,65
"Herman, Mrs. Samuel (Jane Laver)",Yes,Female,48,Not_Alone,65
"Hewlett, Mrs. (Mary D Kingcome)",Yes,Female,55,Alone,16
"Hickman, Mr. Leonard Mark",No,Male,24,Not_Alone,73.5
"Hickman, Mr. Lewis",No,Male,32,Not_Alone,73.5
"Hickman, Mr. Stanley George",No,Male,21,Not_Alone,73.5
"Hiltunen, Miss. Marta",No,Female,18,Not_Alone,13
"Hocking, Miss. Ellen ""Nellie""",Yes,Female,20,Not_Alone,23
"Hocking, Mr. Richard George",No,Male,23,Not_Alone,11.5
"Hocking, Mr. Samuel James Metcalfe",No,Male,36,Alone,13
"Hocking, Mrs. Elizabeth (Eliza Needs)",Yes,Female,54,Not_Alone,23
"Hodges, Mr. Henry Price",No,Male,50,Alone,13
"Hold, Mr. Stephen",No,Male,44,Not_Alone,26
"Hold, Mrs. Stephen (Annie Margaret Hill)",Yes,Female,29,Not_Alone,26
"Hood, Mr. Ambrose Jr",No,Male,21,Alone,73.5
"Hosono, Mr. Masabumi",Yes,Male,42,Alone,13
"Howard, Mr. Benjamin",No,Male,63,Not_Alone,26
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",No,Female,60,Not_Alone,26
"Hunt, Mr. George Henry",No,Male,33,Alone,12.275
"Ilett, Miss. Bertha",Yes,Female,17,Alone,10.5
"Jacobsohn, Mr. Sidney Samuel",No,Male,42,Not_Alone,27
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",Yes,Female,24,Not_Alone,27
"Jarvis, Mr. John Denzil",No,Male,47,Alone,15
"Jefferys, Mr. Clifford Thomas",No,Male,24,Not_Alone,31.5
"Jefferys, Mr. Ernest Wilfred",No,Male,22,Not_Alone,31.5
"Jenkin, Mr. Stephen Curnow",No,Male,32,Alone,10.5
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",Yes,Female,23,Alone,13.7917
"Kantor, Mr. Sinai",No,Male,34,Not_Alone,26
"Kantor, Mrs. Sinai (Miriam Sternin)",Yes,Female,24,Not_Alone,26
"Karnes, Mrs. J Frank (Claire Bennett)",No,Female,22,Alone,21
"Keane, Miss. Nora A",Yes,Female,,Alone,12.35
"Keane, Mr. Daniel",No,Male,35,Alone,12.35
"Kelly, Mrs. Florence ""Fannie""",Yes,Female,45,Alone,13.5
"Kirkland, Rev. Charles Leonard",No,Male,57,Alone,12.35
"Knight, Mr. Robert J",No,Male,,Alone,0
"Kvillner, Mr. Johan Henrik Johannesson",No,Male,31,Alone,10.5
"Lahtinen, Mrs. William (Anna Sylfven)",No,Female,26,Not_Alone,26
"Lahtinen, Rev. William",No,Male,30,Not_Alone,26
"Lamb, Mr. John Joseph",No,Male,,Alone,10.7083
"Laroche, Miss. Louise",Yes,Female,1,Not_Alone,41.5792
"Laroche, Miss. Simonne Marie Anne Andree",Yes,Female,3,Not_Alone,41.5792
"Laroche, Mr. Joseph Philippe Lemercier",No,Male,25,Not_Alone,41.5792
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",Yes,Female,22,Not_Alone,41.5792
"Lehmann, Miss. Bertha",Yes,Female,17,Alone,12
"Leitch, Miss. Jessie Wills",Yes,Female,,Alone,33
"Lemore, Mrs. (Amelia Milley)",Yes,Female,34,Alone,10.5
"Levy, Mr. Rene Jacques",No,Male,36,Alone,12.875
"Leyson, Mr. Robert William Norman",No,Male,24,Alone,10.5
"Lingane, Mr. John",No,Male,61,Alone,12.35
"Louch, Mr. Charles Alexander",No,Male,50,Not_Alone,26
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",Yes,Female,42,Not_Alone,26
"Mack, Mrs. (Mary)",No,Female,57,Alone,10.5
"Malachard, Mr. Noel",No,Male,,Alone,15.0458
"Mallet, Master. Andre",Yes,Male,1,Not_Alone,37.0042
"Mallet, Mr. Albert",No,Male,31,Not_Alone,37.0042
"Mallet, Mrs. Albert (Antoinette Magnin)",Yes,Female,24,Not_Alone,37.0042
"Mangiavacchi, Mr. Serafino Emilio",No,Male,,Alone,15.5792
"Matthews, Mr. William John",No,Male,30,Alone,13
"Maybery, Mr. Frank Hubert",No,Male,40,Alone,16
"McCrae, Mr. Arthur Gordon",No,Male,32,Alone,13.5
"McCrie, Mr. James Matthew",No,Male,30,Alone,13
"McKane, Mr. Peter David",No,Male,46,Alone,26
"Mellinger, Miss. Madeleine Violet",Yes,Female,13,Not_Alone,19.5
"Mellinger, Mrs. (Elizabeth Anne Maidment)",Yes,Female,41,Not_Alone,19.5
"Mellors, Mr. William John",Yes,Male,19,Alone,10.5
"Meyer, Mr. August",No,Male,39,Alone,13
"Milling, Mr. Jacob Christian",No,Male,48,Alone,13
"Mitchell, Mr. Henry Michael",No,Male,70,Alone,10.5
"Montvila, Rev. Juozas",No,Male,27,Alone,13
"Moraweck, Dr. Ernest",No,Male,54,Alone,14
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",No,Male,39,Alone,26
"Mudd, Mr. Thomas Charles",No,Male,16,Alone,10.5
"Myles, Mr. Thomas Francis",No,Male,62,Alone,9.6875
"Nasser, Mr. Nicholas",No,Male,32.5,Not_Alone,30.0708
"Nasser, Mrs. Nicholas (Adele Achem)",Yes,Female,14,Not_Alone,30.0708
"Navratil, Master. Edmond Roger",Yes,Male,2,Not_Alone,26
"Navratil, Master. Michel M",Yes,Male,3,Not_Alone,26
"Navratil, Mr. Michel (""Louis M Hoffman"")",No,Male,36.5,Not_Alone,26
"Nesson, Mr. Israel",No,Male,26,Alone,13
"Nicholls, Mr. Joseph Charles",No,Male,19,Not_Alone,36.75
"Norman, Mr. Robert Douglas",No,Male,28,Alone,13.5
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",Yes,Male,20,Alone,13.8625
"Nye, Mrs. (Elizabeth Ramell)",Yes,Female,29,Alone,10.5
"Otter, Mr. Richard",No,Male,39,Alone,13
"Oxenham, Mr. Percy Thomas",Yes,Male,22,Alone,10.5
"Padro y Manent, Mr. Julian",Yes,Male,,Alone,13.8625
"Pain, Dr. Alfred",No,Male,23,Alone,10.5
"Pallas y Castello, Mr. Emilio",Yes,Male,29,Alone,13.8583
"Parker, Mr. Clifford Richard",No,Male,28,Alone,10.5
"Parkes, Mr. Francis ""Frank""",No,Male,,Alone,0
"Parrish, Mrs. (Lutie Davis)",Yes,Female,50,Not_Alone,26
"Pengelly, Mr. Frederick William",No,Male,19,Alone,10.5
"Pernot, Mr. Rene",No,Male,,Alone,15.05
"Peruschitz, Rev. Joseph Maria",No,Male,41,Alone,13
"Phillips, Miss. Alice Frances Louisa",Yes,Female,21,Not_Alone,21
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",Yes,Female,19,Alone,26
"Phillips, Mr. Escott Robert",No,Male,43,Not_Alone,21
"Pinsky, Mrs. (Rosa)",Yes,Female,32,Alone,13
"Ponesell, Mr. Martin",No,Male,34,Alone,13
"Portaluppi, Mr. Emilio Ilario Giuseppe",Yes,Male,30,Alone,12.7375
"Pulbaum, Mr. Franz",No,Male,27,Alone,15.0333
"Quick, Miss. Phyllis May",Yes,Female,2,Not_Alone,26
"Quick, Miss. Winifred Vera",Yes,Female,8,Not_Alone,26
"Quick, Mrs. Frederick Charles (Jane Richards)",Yes,Female,33,Not_Alone,26
"Reeves, Mr. David",No,Male,36,Alone,10.5
"Renouf, Mr. Peter Henry",No,Male,34,Not_Alone,21
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",Yes,Female,30,Not_Alone,21
"Reynaldo, Ms. Encarnacion",Yes,Female,28,Alone,13
"Richard, Mr. Emile",No,Male,23,Alone,15.0458
"Richards, Master. George Sibley",Yes,Male,0,Not_Alone,18.75
"Richards, Master. William Rowe",Yes,Male,3,Not_Alone,18.75
"Richards, Mrs. Sidney (Emily Hocking)",Yes,Female,24,Not_Alone,18.75
"Ridsdale, Miss. Lucy",Yes,Female,50,Alone,10.5
"Rogers, Mr. Reginald Harry",No,Male,19,Alone,10.5
"Rugg, Miss. Emily",Yes,Female,21,Alone,10.5
"Schmidt, Mr. August",No,Male,26,Alone,13
"Sedgwick, Mr. Charles Frederick Waddington",No,Male,25,Alone,13
"Sharp, Mr. Percival James R",No,Male,27,Alone,26
"Shelley, Mrs. William (Imanita Parrish Hall)",Yes,Female,25,Not_Alone,26
"Silven, Miss. Lyyli Karoliina",Yes,Female,18,Not_Alone,13
"Sincock, Miss. Maude",Yes,Female,20,Alone,36.75
"Sinkkonen, Miss. Anna",Yes,Female,30,Alone,13
"Sjostedt, Mr. Ernst Adolf",No,Male,59,Alone,13.5
"Slayter, Miss. Hilda Mary",Yes,Female,30,Alone,12.35
"Slemen, Mr. Richard James",No,Male,35,Alone,10.5
"Smith, Miss. Marion Elsie",Yes,Female,40,Alone,13
"Sobey, Mr. Samuel James Hayden",No,Male,25,Alone,13
"Stanton, Mr. Samuel Ward",No,Male,41,Alone,15.0458
"Stokes, Mr. Philip Joseph",No,Male,25,Alone,10.5
"Swane, Mr. George",No,Male,18.5,Alone,13
"Sweet, Mr. George Frederick",No,Male,14,Alone,65
"Toomey, Miss. Ellen",Yes,Female,50,Alone,10.5
"Troupiansky, Mr. Moses Aaron",No,Male,23,Alone,13
"Trout, Mrs. William H (Jessie L)",Yes,Female,28,Alone,12.65
"Troutt, Miss. Edwina Celia ""Winnie""",Yes,Female,27,Alone,10.5
"Turpin, Mr. William John Robert",No,Male,29,Not_Alone,21
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",No,Female,27,Not_Alone,21
"Veal, Mr. James",No,Male,40,Alone,13
"Walcroft, Miss. Nellie",Yes,Female,31,Alone,21
"Ware, Mr. John James",No,Male,30,Not_Alone,21
"Ware, Mr. William Jeffery",No,Male,23,Not_Alone,10.5
"Ware, Mrs. John James (Florence Louise Long)",Yes,Female,31,Alone,21
"Watson, Mr. Ennis Hastings",No,Male,,Alone,0
"Watt, Miss. Bertha J",Yes,Female,12,Alone,15.75
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",Yes,Female,40,Alone,15.75
"Webber, Miss. Susan",Yes,Female,32.5,Alone,13
"Weisz, Mr. Leopold",No,Male,27,Not_Alone,26
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",Yes,Female,29,Not_Alone,26
"Wells, Master. Ralph Lester",Yes,Male,2,Not_Alone,23
"Wells, Miss. Joan",Yes,Female,4,Not_Alone,23
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",Yes,Female,29,Not_Alone,23
"West, Miss. Barbara J",Yes,Female,0,Not_Alone,27.75
"West, Miss. Constance Mirium",Yes,Female,5,Not_Alone,27.75
"West, Mr. Edwy Arthur",No,Male,36,Not_Alone,27.75
"West, Mrs. Edwy Arthur (Ada Mary Worth)",Yes,Female,33,Not_Alone,27.75
"Wheadon, Mr. Edward H",No,Male,66,Alone,10.5
"Wheeler, Mr. Edwin ""Frederick""",No,Male,,Alone,12.875
"Wilhelms, Mr. Charles",Yes,Male,31,Alone,13
"Williams, Mr. Charles Eugene",Yes,Male,,Alone,13
"Wright, Miss. Marion",Yes,Female,26,Alone,13.5
"Yrois, Miss. Henriette (""Mrs Harbeck"")",No,Female,24,Alone,13
"Abbing, Mr. Anthony",No,Male,42,Alone,7.55
"Abbott, Master. Eugene Joseph",No,Male,13,Not_Alone,20.25
"Abbott, Mr. Rossmore Edward",No,Male,16,Not_Alone,20.25
"Abbott, Mrs. Stanton (Rosa Hunt)",Yes,Female,35,Not_Alone,20.25
"Abelseth, Miss. Karen Marie",Yes,Female,16,Alone,7.65
"Abelseth, Mr. Olaus Jorgensen",Yes,Male,25,Alone,7.65
"Abrahamsson, Mr. Abraham August Johannes",Yes,Male,20,Alone,7.925
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",Yes,Female,18,Alone,7.2292
"Adahl, Mr. Mauritz Nils Martin",No,Male,30,Alone,7.25
"Adams, Mr. John",No,Male,26,Alone,8.05
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",No,Female,40,Not_Alone,9.475
"Aks, Master. Philip Frank",Yes,Male,0,Not_Alone,9.35
"Aks, Mrs. Sam (Leah Rosen)",Yes,Female,18,Not_Alone,9.35
"Albimona, Mr. Nassef Cassem",Yes,Male,26,Alone,18.7875
"Alexander, Mr. William",No,Male,26,Alone,7.8875
"Alhomaki, Mr. Ilmari Rudolf",No,Male,20,Alone,7.925
"Ali, Mr. Ahmed",No,Male,24,Alone,7.05
"Ali, Mr. William",No,Male,25,Alone,7.05
"Allen, Mr. William Henry",No,Male,35,Alone,8.05
"Allum, Mr. Owen George",No,Male,18,Alone,8.3
"Andersen, Mr. Albert Karvin",No,Male,32,Alone,22.525
"Andersen-Jensen, Miss. Carla Christine Nielsine",Yes,Female,19,Not_Alone,7.8542
"Andersson, Master. Sigvard Harald Elias",No,Male,4,Not_Alone,31.275
"Andersson, Miss. Ebba Iris Alfrida",No,Female,6,Not_Alone,31.275
"Andersson, Miss. Ellis Anna Maria",No,Female,2,Not_Alone,31.275
"Andersson, Miss. Erna Alexandra",Yes,Female,17,Not_Alone,7.925
"Andersson, Miss. Ida Augusta Margareta",No,Female,38,Not_Alone,7.775
"Andersson, Miss. Ingeborg Constanzia",No,Female,9,Not_Alone,31.275
"Andersson, Miss. Sigrid Elisabeth",No,Female,11,Not_Alone,31.275
"Andersson, Mr. Anders Johan",No,Male,39,Not_Alone,31.275
"Andersson, Mr. August Edvard (""Wennerstrom"")",Yes,Male,27,Alone,7.7958
"Andersson, Mr. Johan Samuel",No,Male,26,Alone,7.775
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",No,Female,39,Not_Alone,31.275
"Andreasson, Mr. Paul Edvin",No,Male,20,Alone,7.8542
"Angheloff, Mr. Minko",No,Male,26,Alone,7.8958
"Arnold-Franchi, Mr. Josef",No,Male,25,Not_Alone,17.8
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",No,Female,18,Not_Alone,17.8
"Aronsson, Mr. Ernst Axel Algot",No,Male,24,Alone,7.775
"Asim, Mr. Adola",No,Male,35,Alone,7.05
"Asplund, Master. Carl Edgar",No,Male,5,Not_Alone,31.3875
"Asplund, Master. Clarence Gustaf Hugo",No,Male,9,Not_Alone,31.3875
"Asplund, Master. Edvin Rojj Felix",Yes,Male,3,Not_Alone,31.3875
"Asplund, Master. Filip Oscar",No,Male,13,Not_Alone,31.3875
"Asplund, Miss. Lillian Gertrud",Yes,Female,5,Not_Alone,31.3875
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",No,Male,40,Not_Alone,31.3875
"Asplund, Mr. Johan Charles",Yes,Male,23,Alone,7.7958
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Yes,Female,38,Not_Alone,31.3875
"Assaf Khalil, Mrs. Mariana (""Miriam"")",Yes,Female,45,Alone,7.225
"Assaf, Mr. Gerios",No,Male,21,Alone,7.225
"Assam, Mr. Ali",No,Male,23,Alone,7.05
"Attalah, Miss. Malake",No,Female,17,Alone,14.4583
"Attalah, Mr. Sleiman",No,Male,30,Alone,7.225
"Augustsson, Mr. Albert",No,Male,23,Alone,7.8542
"Ayoub, Miss. Banoura",Yes,Female,13,Alone,7.2292
"Baccos, Mr. Raffull",No,Male,20,Alone,7.225
"Backstrom, Mr. Karl Alfred",No,Male,32,Not_Alone,15.85
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Yes,Female,33,Not_Alone,15.85
"Baclini, Miss. Eugenie",Yes,Female,0,Not_Alone,19.2583
"Baclini, Miss. Helene Barbara",Yes,Female,0,Not_Alone,19.2583
"Baclini, Miss. Marie Catherine",Yes,Female,5,Not_Alone,19.2583
"Baclini, Mrs. Solomon (Latifa Qurban)",Yes,Female,24,Not_Alone,19.2583
"Badman, Miss. Emily Louisa",Yes,Female,18,Alone,8.05
"Badt, Mr. Mohamed",No,Male,40,Alone,7.225
"Balkic, Mr. Cerin",No,Male,26,Alone,7.8958
"Barah, Mr. Hanna Assi",Yes,Male,20,Alone,7.2292
"Barbara, Miss. Saiide",No,Female,18,Not_Alone,14.4542
"Barbara, Mrs. (Catherine David)",No,Female,45,Not_Alone,14.4542
"Barry, Miss. Julia",No,Female,27,Alone,7.8792
"Barton, Mr. David John",No,Male,22,Alone,8.05
"Beavan, Mr. William Thomas",No,Male,19,Alone,8.05
"Bengtsson, Mr. John Viktor",No,Male,26,Alone,7.775
"Berglund, Mr. Karl Ivar Sven",No,Male,22,Alone,9.35
"Betros, Master. Seman",No,Male,,Alone,7.2292
"Betros, Mr. Tannous",No,Male,20,Alone,4.0125
"Bing, Mr. Lee",Yes,Male,32,Alone,56.4958
"Birkeland, Mr. Hans Martin Monsen",No,Male,21,Alone,7.775
"Bjorklund, Mr. Ernst Herbert",No,Male,18,Alone,7.75
"Bostandyeff, Mr. Guentcho",No,Male,26,Alone,7.8958
"Boulos, Master. Akar",No,Male,6,Not_Alone,15.2458
"Boulos, Miss. Nourelain",No,Female,9,Not_Alone,15.2458
"Boulos, Mr. Hanna",No,Male,,Alone,7.225
"Boulos, Mrs. Joseph (Sultana)",No,Female,,Not_Alone,15.2458
"Bourke, Miss. Mary",No,Female,,Not_Alone,7.75
"Bourke, Mr. John",No,Male,40,Not_Alone,15.5
"Bourke, Mrs. John (Catherine)",No,Female,32,Not_Alone,15.5
"Bowen, Mr. David John ""Dai""",No,Male,21,Alone,16.1
"Bradley, Miss. Bridget Delia",Yes,Female,22,Alone,7.725
"Braf, Miss. Elin Ester Maria",No,Female,20,Alone,7.8542
"Braund, Mr. Lewis Richard",No,Male,29,Not_Alone,7.0458
"Braund, Mr. Owen Harris",No,Male,22,Not_Alone,7.25
"Brobeck, Mr. Karl Rudolf",No,Male,22,Alone,7.7958
"Brocklebank, Mr. William Alfred",No,Male,35,Alone,8.05
"Buckley, Miss. Katherine",No,Female,18.5,Alone,7.2833
"Buckley, Mr. Daniel",Yes,Male,21,Alone,7.8208
"Burke, Mr. Jeremiah",No,Male,19,Alone,6.75
"Burns, Miss. Mary Delia",No,Female,18,Alone,7.8792
"Cacic, Miss. Manda",No,Female,21,Alone,8.6625
"Cacic, Miss. Marija",No,Female,30,Alone,8.6625
"Cacic, Mr. Jego Grga",No,Male,18,Alone,8.6625
"Cacic, Mr. Luka",No,Male,38,Alone,8.6625
"Calic, Mr. Jovo",No,Male,17,Alone,8.6625
"Calic, Mr. Petar",No,Male,17,Alone,8.6625
"Canavan, Miss. Mary",No,Female,21,Alone,7.75
"Canavan, Mr. Patrick",No,Male,21,Alone,7.75
"Cann, Mr. Ernest Charles",No,Male,21,Alone,8.05
"Caram, Mr. Joseph",No,Male,,Not_Alone,14.4583
"Caram, Mrs. Joseph (Maria Elias)",No,Female,,Not_Alone,14.4583
"Carlsson, Mr. August Sigfrid",No,Male,28,Alone,7.7958
"Carlsson, Mr. Carl Robert",No,Male,24,Alone,7.8542
"Carr, Miss. Helen ""Ellen""",Yes,Female,16,Alone,7.75
"Carr, Miss. Jeannie",No,Female,37,Alone,7.75
"Carver, Mr. Alfred John",No,Male,28,Alone,7.25
"Celotti, Mr. Francesco",No,Male,24,Alone,8.05
"Charters, Mr. David",No,Male,21,Alone,7.7333
"Chip, Mr. Chang",Yes,Male,32,Alone,56.4958
"Christmann, Mr. Emil",No,Male,29,Alone,8.05
"Chronopoulos, Mr. Apostolos",No,Male,26,Not_Alone,14.4542
"Chronopoulos, Mr. Demetrios",No,Male,18,Not_Alone,14.4542
"Coelho, Mr. Domingos Fernandeo",No,Male,20,Alone,7.05
"Cohen, Mr. Gurshon ""Gus""",Yes,Male,18,Alone,8.05
"Colbert, Mr. Patrick",No,Male,24,Alone,7.25
"Coleff, Mr. Peju",No,Male,36,Alone,7.4958
"Coleff, Mr. Satio",No,Male,24,Alone,7.4958
"Conlon, Mr. Thomas Henry",No,Male,31,Alone,7.7333
"Connaghton, Mr. Michael",No,Male,31,Alone,7.75
"Connolly, Miss. Kate",Yes,Female,22,Alone,7.75
"Connolly, Miss. Kate",No,Female,30,Alone,7.6292
"Connors, Mr. Patrick",No,Male,70.5,Alone,7.75
"Cook, Mr. Jacob",No,Male,43,Alone,8.05
"Cor, Mr. Bartol",No,Male,35,Alone,7.8958
"Cor, Mr. Ivan",No,Male,27,Alone,7.8958
"Cor, Mr. Liudevit",No,Male,19,Alone,7.8958
"Corn, Mr. Harry",No,Male,30,Alone,8.05
"Coutts, Master. Eden Leslie ""Neville""",Yes,Male,9,Not_Alone,15.9
"Coutts, Master. William Loch ""William""",Yes,Male,3,Not_Alone,15.9
"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",Yes,Female,36,Not_Alone,15.9
"Coxon, Mr. Daniel",No,Male,59,Alone,7.25
"Crease, Mr. Ernest James",No,Male,19,Alone,8.1583
"Cribb, Miss. Laura Alice",Yes,Female,17,Not_Alone,16.1
"Cribb, Mr. John Hatfield",No,Male,44,Not_Alone,16.1
"Culumovic, Mr. Jeso",No,Male,17,Alone,8.6625
"Daher, Mr. Shedid",No,Male,22.5,Alone,7.225
"Dahl, Mr. Karl Edwart",Yes,Male,45,Alone,8.05
"Dahlberg, Miss. Gerda Ulrika",No,Female,22,Alone,10.5167
"Dakic, Mr. Branko",No,Male,19,Alone,10.1708
"Daly, Miss. Margaret Marcella ""Maggie""",Yes,Female,30,Alone,6.95
"Daly, Mr. Eugene Patrick",Yes,Male,29,Alone,7.75
"Danbom, Master. Gilbert Sigvard Emanuel",No,Male,0,Not_Alone,14.4
"Danbom, Mr. Ernst Gilbert",No,Male,34,Not_Alone,14.4
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",No,Female,28,Not_Alone,14.4
"Danoff, Mr. Yoto",No,Male,27,Alone,7.8958
"Dantcheff, Mr. Ristiu",No,Male,25,Alone,7.8958
"Davies, Mr. Alfred J",No,Male,24,Not_Alone,24.15
"Davies, Mr. Evan",No,Male,22,Alone,8.05
"Davies, Mr. John Samuel",No,Male,21,Not_Alone,24.15
"Davies, Mr. Joseph",No,Male,17,Not_Alone,8.05
"Davison, Mr. Thomas Henry",No,Male,,Not_Alone,16.1
"Davison, Mrs. Thomas Henry (Mary E Finck)",Yes,Female,,Not_Alone,16.1
"de Messemaeker, Mr. Guillaume Joseph",Yes,Male,36.5,Not_Alone,17.4
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",Yes,Female,36,Not_Alone,17.4
"de Mulder, Mr. Theodore",Yes,Male,30,Alone,9.5
"de Pelsmaeker, Mr. Alfons",No,Male,16,Alone,9.5
"Dean, Master. Bertram Vere",Yes,Male,1,Not_Alone,20.575
"Dean, Miss. Elizabeth Gladys ""Millvina""",Yes,Female,0,Not_Alone,20.575
"Dean, Mr. Bertram Frank",No,Male,26,Not_Alone,20.575
